Hostname,IP,URL,CPU,RAM,GPU,Hard Disk,Interfacce di Rete,OS,Macchina di Monitoraggio,Macchina Gateway,Docker Swarm Node/Cluster,Kubernetes Cluster,Ambiente,Ruolo/Funzione,Stato,Responsabile,Note,CI ID
vm-web-1,10.0.0.1,www.web1.com,11,8GB,N/A,500GB SSD,eth0: 10.0.0.1,CentOS 8,monitor-01,gateway-10,N/A,N/A,Dev,Web Server,Attivo,Team ML,Web Server #1,dedf974f-752a-4300-a53f-8916d77d391f
vm-web-2,10.1.0.2,www.web2.com,7,16GB,N/A,2TB SSD,eth0: 10.1.0.2,CentOS 8,monitor-01,gateway-1,N/A,N/A,Dev,Web Server,Attivo,Team DevOps,Web Server #2,b260c317-51a5-4043-ab33-131e82ce6a07
vm-web-3,172.16.0.3,www.web3.com,14,8GB,N/A,1TB SSD,eth0: 172.16.0.3,Ubuntu 18.04 LTS,monitor-01,gateway-6,N/A,N/A,Test,Web Server,Attivo,Team Web,Web Server #3,e710f388-f9e0-4b1d-ad21-d3a8b864d4fc
vm-web-4,10.0.1.4,www.web4.com,2,32GB,N/A,500GB SSD,eth0: 10.0.1.4,Ubuntu 18.04 LTS,monitor-01,gateway-9,N/A,N/A,Prod,Web Server,Attivo,Team Web,Web Server #4,d99ad608-6b09-4dd0-98e0-a629468c0f68
vm-web-5,10.0.1.5,www.web5.com,7,8GB,N/A,1TB SSD,eth0: 10.0.1.5,Windows Server 2016,monitor-01,gateway-6,N/A,N/A,Prod,Web Server,Attivo,Team QA,Web Server #5,841149e2-cfc8-47e7-b010-1dd4c1556e1b
vm-web-6,192.168.1.6,www.web6.com,8,8GB,N/A,1TB SSD,eth0: 192.168.1.6,CentOS 8,monitor-01,gateway-6,N/A,N/A,Test,Web Server,Attivo,Team DB,Web Server #6,786beac4-ba20-462b-81d6-1b0dc6946e79
vm-web-7,10.1.0.7,www.web7.com,11,16GB,N/A,500GB SSD,eth0: 10.1.0.7,Ubuntu 18.04 LTS,monitor-01,gateway-7,N/A,N/A,Test,Web Server,Attivo,Team DevOps,Web Server #7,0194c67a-e341-46de-979b-16b217930eb8
vm-web-8,10.0.1.8,www.web8.com,5,16GB,N/A,2TB SSD,eth0: 10.0.1.8,Oracle Linux 7.9,monitor-01,gateway-8,N/A,N/A,Test,Web Server,Attivo,Team Kubernetes,Web Server #8,69fb810f-307f-42f9-8981-b658f70a5b9a
vm-web-9,10.1.0.9,www.web9.com,14,8GB,N/A,2TB SSD,eth0: 10.1.0.9,Ubuntu 18.04 LTS,monitor-01,gateway-8,N/A,N/A,Test,Web Server,Attivo,Team ML,Web Server #9,d3c4998c-4595-4e40-a144-91a4647471a3
vm-web-10,10.1.0.10,www.web10.com,3,8GB,N/A,500GB SSD,eth0: 10.1.0.10,Windows Server 2019,monitor-01,gateway-4,N/A,N/A,Prod,Web Server,Attivo,Team Infrastructure,Web Server #10,8942f35c-4826-482c-ac4c-336a9e34b903
vm-web-11,172.16.0.11,www.web11.com,6,16GB,N/A,1TB SSD,eth0: 172.16.0.11,Debian 10,monitor-01,gateway-9,N/A,N/A,Prod,Web Server,Attivo,Team Web,Web Server #11,98577a9b-7911-493b-8df6-5f61aaad6b2b
vm-web-12,172.16.0.12,www.web12.com,7,8GB,N/A,500GB SSD,eth0: 172.16.0.12,Oracle Linux 7.9,monitor-01,gateway-6,N/A,N/A,Test,Web Server,Attivo,Team DB,Web Server #12,6bde589b-8410-4b23-bbfd-bd2f78cd5aef
vm-web-13,172.16.0.13,www.web13.com,13,8GB,N/A,2TB SSD,eth0: 172.16.0.13,Windows Server 2016,monitor-01,gateway-10,N/A,N/A,Test,Web Server,Attivo,Team QA,Web Server #13,36f31238-d7c6-40dd-b219-6400484136a1
vm-web-14,10.0.1.14,www.web14.com,4,32GB,N/A,500GB SSD,eth0: 10.0.1.14,Windows Server 2019,monitor-01,gateway-10,N/A,N/A,Prod,Web Server,Attivo,Team QA,Web Server #14,262723c0-998f-48c4-ae45-ead2fcd592c5
vm-web-15,10.1.0.15,www.web15.com,2,8GB,N/A,500GB SSD,eth0: 10.1.0.15,CentOS 8,monitor-01,gateway-3,N/A,N/A,Test,Web Server,Attivo,Team QA,Web Server #15,fdafc670-0007-4bcf-82f1-180567d77845
vm-web-16,192.168.1.16,www.web16.com,10,16GB,N/A,500GB SSD,eth0: 192.168.1.16,Windows Server 2016,monitor-01,gateway-3,N/A,N/A,Prod,Web Server,Attivo,Team Kubernetes,Web Server #16,38ccf925-ff5a-4f63-9215-2737e100a858
vm-web-17,10.0.1.17,www.web17.com,3,32GB,N/A,500GB SSD,eth0: 10.0.1.17,Ubuntu 20.04 LTS,monitor-01,gateway-10,N/A,N/A,Prod,Web Server,Attivo,Team QA,Web Server #17,a688048c-1ede-49cd-b199-a8bebaca9717
