Hostname,IP,URL,CPU,RAM,Hard Disk,OS,Monitoraggio,Ambiente,Ruolo,ID CI,Stato,Porta,Protocollo,Funzione,Localizzazione,Priorità,Versione OS,Backup,Firewall,Note
VM-1,10.0.1.229,N/A,2 vCPUs,32 GB,256 GB SSD,Windows Server 2019,CheckMK,Prod,ml,d3e47cff-a6a4-4839-940f-fb593ed631bf,Attivo,443,HTTP,Produzione,Data Center 2,Alta,Latest,No,No,Generato automaticamente
VM-2,10.0.0.214,N/A,4 vCPUs,64 GB,256 GB SSD,CentOS 8,Nagios,Dev,oracle-db,920eefd9-f9b0-43bb-9258-0639eb9205d3,Inattivo,443,HTTPS,Test,Data Center 2,Media,Stable,No,No,Generato automaticamente
Gateway-3,192.168.1.242,N/A,4 vCPUs,64 GB,256 GB SSD,Debian 10,Prometheus,Dev,test,bbe05a1e-0035-4edc-b238-26c1958b222c,Inattivo,22,SSH,Sviluppo,Data Center 2,Media,Old,No,Sì,Generato automaticamente
Firewall-4,172.16.0.53,N/A,16 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,CheckMK,Prod,test,553e1129-025f-486f-8410-932465db1b28,Attivo,80,SSH,Sviluppo,Data Center 1,Bassa,Stable,Sì,Sì,Generato automaticamente
VM-5,10.0.0.189,N/A,16 vCPUs,8 GB,512 GB SSD,Debian 10,Prometheus,Prod,ml,3346034e-6186-4951-abb6-80489e51c844,Inattivo,22,SSH,Test,Data Center 1,Alta,Stable,Sì,No,Generato automaticamente
Gateway-6,10.0.0.117,N/A,8 vCPUs,8 GB,512 GB SSD,Windows Server 2019,Nagios,Prod,kube-node,9f0496c3-f94c-466b-a37a-969bf7f02228,Attivo,443,HTTPS,Produzione,Data Center 2,Bassa,Latest,Sì,No,Generato automaticamente
VM-7,10.0.0.188,N/A,4 vCPUs,16 GB,256 GB SSD,Ubuntu 20.04,CheckMK,Test,independent,82839d82-f490-4c12-96e8-c9020e2291bf,Inattivo,80,HTTP,Test,Data Center 1,Alta,Old,No,No,Generato automaticamente
VM-8,192.168.1.172,N/A,2 vCPUs,16 GB,1024 GB SSD,Windows Server 2019,Nagios,Dev,router,65607277-1854-48bf-be87-6a47766dcda1,Attivo,443,HTTP,Produzione,Data Center 1,Bassa,Latest,No,No,Generato automaticamente
Firewall-9,192.168.1.193,N/A,8 vCPUs,16 GB,1024 GB SSD,Windows Server 2019,Prometheus,Prod,router,7fc7e5c3-c736-4000-a5b5-db3f41caa33d,Attivo,443,HTTPS,Sviluppo,Data Center 2,Alta,Old,Sì,Sì,Generato automaticamente
Router-10,172.16.0.197,N/A,8 vCPUs,16 GB,1024 GB SSD,Windows Server 2019,Prometheus,Prod,kube-node,a77380e0-7191-406b-9cab-7b34128be730,Attivo,80,HTTPS,Test,Data Center 2,Media,Stable,No,Sì,Generato automaticamente
Firewall-11,192.168.1.139,N/A,16 vCPUs,32 GB,512 GB SSD,Debian 10,Nagios,Prod,router,e01b952b-5604-4f80-bccf-4354fcb8a68d,Inattivo,22,HTTPS,Produzione,Data Center 1,Bassa,Stable,Sì,Sì,Generato automaticamente
VM-12,10.0.1.112,N/A,8 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,Prometheus,Test,kube-master,06a8b02c-7e28-43b4-b36a-c666b566c1a7,Attivo,22,HTTP,Test,Data Center 1,Alta,Stable,No,No,Generato automaticamente
Firewall-13,172.16.0.166,N/A,4 vCPUs,64 GB,512 GB SSD,Debian 10,CheckMK,Prod,docker-swarm,6f163f8e-28c9-423f-b5cc-ca5327525f4e,Inattivo,22,HTTPS,Sviluppo,Data Center 2,Alta,Old,No,No,Generato automaticamente
Server-14,10.0.0.20,N/A,4 vCPUs,64 GB,256 GB SSD,Ubuntu 20.04,Nagios,Prod,gateway,352f898a-8a0f-40af-b0a0-c4e742a76b38,Attivo,443,HTTPS,Sviluppo,Data Center 1,Bassa,Old,No,No,Generato automaticamente
Gateway-15,10.0.1.127,N/A,4 vCPUs,16 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Dev,gateway,0f61a862-16bc-41cf-9726-1c082099a7de,Attivo,80,HTTPS,Sviluppo,Data Center 1,Bassa,Old,No,No,Generato automaticamente
Firewall-16,172.16.0.54,N/A,8 vCPUs,32 GB,256 GB SSD,CentOS 8,Nagios,Test,router,95240c7f-e8ec-4570-a396-f82e7014239e,Attivo,22,HTTP,Test,Data Center 1,Media,Stable,No,Sì,Generato automaticamente
Router-17,10.0.0.68,N/A,4 vCPUs,8 GB,256 GB SSD,Windows Server 2019,Nagios,Prod,docker-swarm,b5c744ec-4be7-440f-8254-5ce1cfea22af,Inattivo,443,SSH,Produzione,Data Center 1,Alta,Old,Sì,Sì,Generato automaticamente
VM-18,172.16.0.38,N/A,4 vCPUs,64 GB,512 GB SSD,Debian 10,CheckMK,Dev,kube-master,5c028df2-c549-46e7-8490-3ddd929d07db,Attivo,443,SSH,Sviluppo,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Router-19,10.0.1.43,N/A,4 vCPUs,8 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Test,independent,c7e1e3a1-ae88-484f-8247-0e058040810c,Attivo,443,HTTPS,Produzione,Data Center 1,Bassa,Old,No,No,Generato automaticamente
Firewall-20,172.16.0.252,N/A,16 vCPUs,64 GB,512 GB SSD,Debian 10,Nagios,Prod,gateway,29e429f7-9f9d-4a47-9f25-fa1d120d74de,Attivo,22,HTTPS,Sviluppo,Data Center 1,Media,Old,Sì,No,Generato automaticamente
VM-21,10.0.0.243,N/A,8 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,Nagios,Prod,oracle-db,d7708001-fb3d-4e5f-b22e-f832fb84688a,Attivo,80,HTTP,Test,Data Center 2,Bassa,Old,Sì,No,Generato automaticamente
Server-22,10.0.1.187,N/A,8 vCPUs,32 GB,512 GB SSD,CentOS 8,Nagios,Prod,dev,4a1e83ac-d61b-427d-ac80-55ba6706da39,Attivo,443,HTTP,Sviluppo,Data Center 2,Media,Stable,Sì,Sì,Generato automaticamente
Gateway-23,10.0.1.86,N/A,2 vCPUs,64 GB,256 GB SSD,Debian 10,Nagios,Dev,monitor,f3a4cc32-4fcc-460c-a850-63d77732a7d1,Attivo,443,HTTPS,Test,Data Center 1,Bassa,Latest,No,No,Generato automaticamente
VM-24,172.16.0.174,N/A,2 vCPUs,16 GB,512 GB SSD,Debian 10,CheckMK,Test,web,ebed35b0-c5a4-44c7-ba60-21f2e944318a,Inattivo,22,HTTP,Sviluppo,Data Center 2,Media,Stable,No,No,Generato automaticamente
Router-25,192.168.1.82,N/A,8 vCPUs,64 GB,1024 GB SSD,Windows Server 2019,CheckMK,Test,ml,63db577b-9fa5-4293-a62d-954295ba5281,Attivo,80,HTTPS,Produzione,Data Center 1,Alta,Stable,No,Sì,Generato automaticamente
VM-26,192.168.1.57,N/A,16 vCPUs,64 GB,256 GB SSD,CentOS 8,Nagios,Prod,kube-master,8a2c2499-37a4-400b-9089-9eaa092d38e4,Inattivo,80,HTTPS,Produzione,Data Center 1,Bassa,Latest,Sì,Sì,Generato automaticamente
Router-27,10.0.1.253,N/A,2 vCPUs,64 GB,1024 GB SSD,Debian 10,Nagios,Prod,independent,9c2efc9b-e583-4446-b8aa-b7eec277d28c,Inattivo,22,HTTPS,Sviluppo,Data Center 2,Media,Old,No,Sì,Generato automaticamente
Gateway-28,172.16.0.33,N/A,8 vCPUs,16 GB,256 GB SSD,Ubuntu 20.04,Prometheus,Dev,oracle-db,8444a3dd-07f8-49ba-ad0e-18d6f4d7b4ea,Attivo,443,HTTP,Test,Data Center 2,Bassa,Latest,No,No,Generato automaticamente
Firewall-29,172.16.0.199,N/A,2 vCPUs,16 GB,1024 GB SSD,CentOS 8,CheckMK,Dev,oracle-db,dff3ba3b-c27a-4cac-b149-55ba9b705a6b,Attivo,443,HTTP,Test,Data Center 2,Media,Old,No,Sì,Generato automaticamente
