Hostname,Dipendenze,Componenti Dipendenti,Monitorato da,Applicativi Installati,Servizi Forniti,Flusso di Traffico In,Flusso di Traffico Out,Relazioni con Docker Swarm,Relazioni con Kubernetes,Politiche di Backup,Politiche di Sicurezza,Contatti di Supporto,SLA,Note
VM-1,VM-94,VM-26,Nagios,Kubernetes,ml,443,80,No,No,Settimanale,Standard,supporto@ml.com,99%,KMDB generato per simulazione
VM-2,Server-137;VM-95,VM-94,Nagios,Kubernetes,oracle-db,80,80,No,No,Nessuno,Standard,supporto@oracle-db.com,99%,KMDB generato per simulazione
Gateway-3,Gateway-145;Router-110;Server-199,Firewall-68;Firewall-151,CheckMK,Apache,test,80,80,No,No,Giornaliero,Standard,supporto@test.com,99.99%,KMDB generato per simulazione
Firewall-4,VM-67,Firewall-36;VM-54,Nagios,Docker,test,443,443,No,No,Giornaliero,Standard,supporto@test.com,99.9%,KMDB generato per simulazione
VM-5,VM-83;Firewall-11;Router-73,VM-108,CheckMK,Docker,ml,443,80,No,No,Settimanale,Standard,supporto@ml.com,99.9%,KMDB generato per simulazione
Gateway-6,Gateway-183;Router-47;Firewall-46,Gateway-111,CheckMK,Apache,kube-node,80,80,No,Sì,Settimanale,Standard,supporto@kube-node.com,99.9%,KMDB generato per simulazione
VM-7,VM-196;Router-47;Router-147,Firewall-13;Gateway-92,Prometheus,Apache,independent,80,80,No,No,Nessuno,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
VM-8,VM-172,VM-71;VM-5,CheckMK,Docker,router,80,80,No,No,Giornaliero,Standard,supporto@router.com,99.9%,KMDB generato per simulazione
Firewall-9,VM-1,Firewall-56,Prometheus,Kubernetes,router,80,443,No,No,Giornaliero,Standard,supporto@router.com,99.9%,KMDB generato per simulazione
Router-10,Firewall-116;Firewall-168;Firewall-117,Server-86,Prometheus,Docker,kube-node,80,443,No,Sì,Settimanale,Standard,supporto@kube-node.com,99.99%,KMDB generato per simulazione
Firewall-11,Server-186;Gateway-79,Firewall-51,CheckMK,Kubernetes,router,80,80,No,No,Settimanale,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
